Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
DCA/20200727 10:50/DL1788/OP DL1788/Y/20200727 12:29/ATL~ATL/20200727 14:36/DL2195/OP DL2195/Y/20200727 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
DCA/20200728 10:50/DL1788/OP DL1788/Y/20200728 12:29/ATL~ATL/20200728 14:36/DL2195/OP DL2195/Y/20200728 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
DCA/20200729 10:50/DL1788/OP DL1788/Y/20200729 12:29/ATL~ATL/20200729 14:36/DL2195/OP DL2195/Y/20200729 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
DCA/20200730 10:50/DL1788/OP DL1788/Y/20200730 12:29/ATL~ATL/20200730 14:36/DL2195/OP DL2195/Y/20200730 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
DCA/20200731 10:50/DL1788/OP DL1788/Y/20200731 12:29/ATL~ATL/20200731 14:36/DL2195/OP DL2195/Y/20200731 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
DCA/20200726 14:35/DL1281/OP DL1281/Y/20200726 16:25/ATL~ATL/20200726 17:38/DL2444/OP DL2444/Y/20200726 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200727 14:35/DL1281/OP DL1281/Y/20200727 16:25/ATL~ATL/20200727 17:38/DL2444/OP DL2444/Y/20200727 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200728 14:35/DL1281/OP DL1281/Y/20200728 16:25/ATL~ATL/20200728 17:38/DL2444/OP DL2444/Y/20200728 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200729 14:35/DL1281/OP DL1281/Y/20200729 16:25/ATL~ATL/20200729 17:38/DL2444/OP DL2444/Y/20200729 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200730 14:35/DL1281/OP DL1281/Y/20200730 16:25/ATL~ATL/20200730 17:38/DL2444/OP DL2444/Y/20200730 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200731 14:35/DL1281/OP DL1281/Y/20200731 16:25/ATL~ATL/20200731 17:38/DL2444/OP DL2444/Y/20200731 19:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200726 18:40/DL0955/OP DL0955/Y/20200726 20:24/ATL~ATL/20200726 21:46/DL0795/OP DL0795/Y/20200726 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200727 18:40/DL0955/OP DL0955/Y/20200727 20:24/ATL~ATL/20200727 21:46/DL0795/OP DL0795/Y/20200727 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200728 18:40/DL0955/OP DL0955/Y/20200728 20:24/ATL~ATL/20200728 21:46/DL0795/OP DL0795/Y/20200728 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200729 18:40/DL0955/OP DL0955/Y/20200729 20:24/ATL~ATL/20200729 21:46/DL0795/OP DL0795/Y/20200729 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
