Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200730 18:20/UA0918/OP UA0918/Y/20200731 06:45/LHR~LHR/20200731 08:30/LH0925/OP LH0925/Y/20200731 11:05/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 18:20/UA0918/OP UA0918/Y/20200728 06:45/LHR~LHR/20200728 11:30/LH0905/OP LH0905/Y/20200728 14:05/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200729 18:20/UA0918/OP UA0918/Y/20200730 06:45/LHR~LHR/20200730 11:30/LH0905/OP LH0905/Y/20200730 14:05/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 18:20/UA0918/OP UA0918/Y/20200731 06:45/LHR~LHR/20200731 11:30/LH0905/OP LH0905/Y/20200731 14:05/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 18:10/UA0106/OP UA0106/Y/20200731 08:05/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~31,above average legroom~standard legroom,no~no,OTHER(0),standard~standard,standard~standard,
IAD/20200727 18:00/UA0052/OP UA0052/Y/20200728 08:05/ZRH~ZRH/20200728 09:35/LX3600/OP LH1185/Y/20200728 10:35/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~32~31,above average legroom~above average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200728 18:00/UA0052/OP UA0052/Y/20200729 08:05/ZRH~ZRH/20200729 09:35/LX3600/OP LH1185/Y/20200729 10:35/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~32~31,above average legroom~above average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200729 18:00/UA0052/OP UA0052/Y/20200730 08:05/ZRH~ZRH/20200730 09:35/LX3600/OP LH1185/Y/20200730 10:35/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~32~31,above average legroom~above average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200730 18:00/UA0052/OP UA0052/Y/20200731 08:05/ZRH~ZRH/20200731 09:35/LX3600/OP LH1185/Y/20200731 10:35/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~32~31,above average legroom~above average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200727 18:00/UA0052/OP UA0052/Y/20200728 08:05/ZRH~ZRH/20200728 10:40/LX3602/OP LH1187/Y/20200728 11:40/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~30~31,above average legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200728 18:00/UA0052/OP UA0052/Y/20200729 08:05/ZRH~ZRH/20200729 10:40/LX3602/OP LH1187/Y/20200729 11:40/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~30~31,above average legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200729 18:00/UA0052/OP UA0052/Y/20200730 08:05/ZRH~ZRH/20200730 10:40/LX3602/OP LH1187/Y/20200730 11:40/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~30~31,above average legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200730 18:00/UA0052/OP UA0052/Y/20200731 08:05/ZRH~ZRH/20200731 10:40/LX3602/OP LH1187/Y/20200731 11:40/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~30~31,above average legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200727 18:00/UA0052/OP UA0052/Y/20200728 08:05/ZRH~ZRH/20200728 14:40/LX3604/OP LH1191/Y/20200728 15:40/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~30~31,above average legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
